,name,model,price,color,fuel_type,origin_car,car_license,lime_type,glass,motor_power,car_speedometer,passengers,payment_method,displayed,ex_owners,additional_info,insurance_third,supplementary_body,total,ads_status,ads_start_data,ads_end_data
0,كيا اوبتيما,2014,100000,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,75000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1340,1751,3090,منتهي,2017-08-16,2017-09-15
1,كيا سورينتو,2007,60000,سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500 ,130000 ,7+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1690,1050,2740,منتهي,2017-08-16,2017-09-30
2,هونداي افانتي,2006,43500,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,,نقدا فقط ,للبيع فقط ,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1340,1000,2340,منتهي,2017-08-19,2017-09-18
3,فيات 127,1982,5500,بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,906 ,شغال ,4+1  ,إمكانية التقسيط ,للبيع فقط ,00  ,"مُكيّف,مسجل CD",467,500,967,منتهي,2017-08-17,2017-09-22
4,بيجو 208,2014,54000,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,38000 ,4+1 ,نقدا فقط ,للبيع فقط ,,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية",1035,1000,2035,منتهي,2017-08-17,2017-10-01
5,بي ام دبليو x3,2015,205000,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,5+1 ,نقدا فقط ,للبيع فقط ,0 ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1340,3588,4928,منتهي,2017-09-07,2017-10-07
6,اوبل كورسا,2015,65000,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,١٢٣٤٥٦ ,٤+١ ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1035,1138,2173,منتهي,2017-08-19,2017-09-18
7,مرسيدس C200,2014,230000,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,1 ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1340,4026,5365,منتهي,2017-08-19,2017-09-18
8,فورد فيستا,2014,59000,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,,نقدا فقط ,للبيع فقط ,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,وسادة حماية هوائية",1340,1033,2373,منتهي,2017-08-19,2017-09-03
9,نيسان باترول,2003,84000,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500 ,56000 ,8 ,إمكانية التقسيط ,للبيع فقط ,0 ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية",1690,1471,3160,منتهي,2017-08-19,2017-10-03
