model,price,motor_power,car_speedometer,passengers,ex_owners,ads_start_date,ads_end_date,name_كيا,name_هونداي,name_فيات,name_بيجو,name_بي,name_اوبل,name_مرسيدس,name_فورد,name_نيسان,name_سكودا,name_فولكسفاجن,name_هوندا,name_دايو,name_شفروليه,name_رينو,name_جييب,name_دراجة,name_ستروين,name_فولفو,name_مازدا,name_ايسوزو,name_سانغ,name_سيت,name_تويوتا,name_سوبارو,name_ميتسوبيشي,name_اودي,name_شاحنة,name_داف,name_سوزوكي,name_داتشيا,name_جي,name_كاديلاك,name_لاندروفر,name_روفر,name_باص,name_أفيكو,name_Dodge,name_ديهاتسو,name_الفا,name_جاجوار,color_أبيض عاجي ,color_سكني ,color_بيج ,color_فضي ,color_أسود ,color_بترولي ,color_أبيض ,color_أسود ميتالك ,color_ذهبي ,color_فيراني ,color_أحمر ,color_أزرق ,color_أزرق سماوي ,color_رمادي ,color_عدة الوان ,color_رصاصي ,color_برتقالي ,color_أخضر ,color_بني ,color_خمري ,color_كحلي ,color_زيتي ,color_بنفسجي ,color_جيشي ,color_أصفر ,color_كرميدي ,glass_type_الكتروني ,glass_type_يدوي ,fuel_type_بنزين ,fuel_type_ديزل ,fuel_type_هايبرد ,car_type_خصوصي ,car_type_عمومي ,car_type_تأجير ,car_type_تجاري ,car_type_تدريب سياقة ,car_type_حكومي ,license_type_فلسطينية ,license_type_نمرة صفراء ,lime_type_اوتوماتيك ,lime_type_نصف اوتوماتيك ,lime_type_عادي ,payment_method_نقدا فقط ,payment_method_إمكانية التقسيط ,display_purpose_للبيع فقط ,display_purpose_للبيع أو التبديل ,display_purpose_للتبديل فقط 
2014,0.6753246753246753,0.625,0.24181847493148478,0.0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2007,0.4019138755980861,0.8333333333333334,0.4191520232145736,0.0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
2006,0.2891319207108681,0.45833333333333337,0.0,0.0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1982,0.029391660970608337,0.16916666666666666,0.0,0.0,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
2014,0.3609022556390977,0.29166666666666663,0.12252136063195229,0.0,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2015,1.0,0.625,0.0,0.0,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2015,0.43609022556390975,0.375,0.3980525552152185,0.0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
2014,1.0,0.625,0.16121231662098987,0.0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2014,0.3950786056049214,0.45833333333333337,0.0,0.0,2,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2003,0.5659603554340397,1.0000000000000002,0.18055779461550864,8.0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
